name,cost,type,subtype,description,attack,health,move,Notes,value
CSi05,4,Unit,Simian,This costs 1 less if deployed in a friendly Simian tile,4,4,2,"Unit, large, cheaper in Simian",
CSi06,4,Unit,Simian,This unit can only be deployed on a tile with a friendly environ,6,6,1,"Unit, large, requires Simian",
CSi07,1,Environ,Simian,Aura: Canopize: Tiles adjacent to this are Simian tiles,,,,"Environ, Simian",
CSi08,2,Environ,Simian,"Reaction: Emerge from earth: When this enters the field, the next Simian you play this turn costs 1 less
 
 Aura: Full Canopize: This tile and nearby tiles are Simian tiles",,,,"Environ, Simian, chain Simian",
CSi09,2,Environ,Simian,"Aura: Paths of Grass: You may pay 2 to allow an ally to move through this tile for free.
 
 Aura: Canopize:This tile and ajdacent tiles are Simian tiles",,,,"Environ, Simian, Free movement",
CSi10,1,Environ,Simian,"Aura: Verdance Vigor: Friendly units in this environ gain +2Atk
 
 Aura: Canopize: This tile and ajdacent tiles are Simian tiles",,,,"Environ, Simian, strength",
CSi11,2,Stratagem,Simian,Search your deck or damage pile for a Simian and reveal it. It costs 1 less when played this turn,,,,"Stratagem, search env, chain Simian",
CSi12,2,Tactic,Simian,Chosen unit in a friendly environ gets +1Atk +1Def for each adjacent friendly Simian tile,,,,"Tactic, Simian gives Strength",
CG08,2,Tactic,(GENERIC),"Shuffle 6 cards from your damage pile into your deck, then draw 2 cards. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,,
CG10: Wheel,0,Stratagem,(GENERIC),Discard your hand and draw 7 cards,,,,,
CG 13: Bike wheel,1,Stragem,(GENERIC),Shuffle your hand into your deck then draw 7 cards. You become fatigued (you can't draw cards or play cards that fatigue you until your next turn),,,,,
CG01,0,Stratagem,(GENERIC),"To deploy this, discard 2 cards in addition to its cost, then search your deck for a unit, reveal it, and shuffle",,,,"Stratagem, cheap discard 2, search for unit",
CG02,0,Stratagem,(GENERIC),"To deploy this, discard 2 cards in addition to its cost, then search your deck for an environ or structure, reveal it, and shuffle",,,,"Stratagem, cheap, discard 2, search for env or structure",
CG03,1,Stratagem,(GENERIC),"Search your deck for any card then shuffle. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Stratagem, cheap, fatigue, search for anything
 
 This and CG04 are basically the same effect at the same cost. There needs to be some difference",
CG04,1,Stratagem,(GENERIC),"To deploy this, discard a card in addition to its cost. Search your deck and/or damage pile for a card. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Stratagem, cheap, fatigue, search damage pile",
CG05,2,Stratagem,(GENERIC),"Draw 4 cards. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Stratagem, medium, fatigue, draw 4",
CG06,1,Tactic,(GENERIC),"Draw 2 cards. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Tactic, fatigue, draw 2",
CG07,2,Tactic,(GENERIC),"You take 2 damage, then search your deck and/or damage pile for any card. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Tactic, fatigue, take 2 damage, search deck and damage for anything",
CG08,2,Tactic,(GENERIC),"Shuffle 6 cards from your damage pile into your deck, then draw a card. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,Heal 3 draw 1,
CG09,1,Tactic,(GENERIC),All Friendly Units have +1 to Movement until the end of your next turn,,,,"Tactic, +1 to movement",
CG01,1,Stratagem,(GENERIC),"Discard 2 cards, then search your deck for a unit, reveal it, and shuffle",,,,"Stratagem, cheap discard 2, search for unit",
CG02,1,Stratagem,(GENERIC),"Discard 2 cards, then search your deck for an environ or structure, reveal it, and shuffle",,,,"Stratagem, cheap, discard 2, search for env or structure",
CG03,1,Stratagem,(GENERIC),"Search your deck for any card then shuffle. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Stratagem, cheap, fatigue, search for anything
This and CG04 are basically the same effect at the same cost. There needs to be some difference",
CG04,1,Stratagem,(GENERIC),"Search your deck and/or damage pile for a card. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Stratagem, cheap, fatigue, search damage pile",
CG05,2,Stratagem,(GENERIC),"Draw 4 cards. You become fatigued  (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Stratagem, medium, fatigue, draw 4",
CG06,1,Tactic,(GENERIC),"Draw 2 cards. You become fatigued  (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Tactic, fatigue, draw 2",
CG07,2,Tactic,(GENERIC),"You take 2 damage, then search your deck and/or damage pile for any card. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,"Tactic, fatigue, take 2 damage, search deck and damage for anything",
CG08,2,Tactic,(GENERIC),"Shuffle 6 cards from your damage pile into your deck, then draw a card. You become fatigued (you can't play other cards that fatigue you, and you can't draw until your next turn)",,,,Heal 3 draw 1,
CG09,1,Tactic,(GENERIC),All Friendly Units have +1 to Movement until the end of your next turn,,,,"Tactic, +1 to movement",
