name,cost,type,subtype,description,attack,health,move,value,Notes
Surge Pulsar,2,Environ,Volcanic,"Reaction: When an enemy enters a tile <|> from this, this deals 1 damage to it",,,,,
Cindercone ,3,Environ,Volcanic,"Reaction: When any occupant enters an adjacent tile, this deals 3 damage to it and pushes it",,,,,
Ignition Peak,4,Environ,Volcanic,"Power: Discard a card, then choose an enemy within range 2 of this. This deals your choice of push or pull to the chosen unit",,,,,
Monolithic Spite,1,Tactic,Reaction Move,Chose an enemy adjacent to a friendly Volcanic environ. Then choose a direction and push the chosen unit twice in that direction,,,,,
Sparkback,2,Tactic,Reaction Damage,Chosen friendly attacking scorsharan gains 3 atk if it's target has taken damage this turn,,,,,
Overburn,2,Tactic,Reaction Damage,Chosen friendly unit gains your chose of +1atk or +1def,,,,,
Searforge Sentry,1,Unit,Scorshan Mystic,"Reaction: When this unit is destroyed, an adjacent tile becomes volcanic this turn",1,1,1,,
Volcanic Seeker,1,Unit,Scorshan Mystic,"Aura: When this unit is in a volcanic tile, all tiles adjacent to it are volcanic",0,1,1,,
Lavaflow Flareweaver,2,Unit,Scorshan Construct,"Power: Discard your hand, then destroy a unit within range 2 adjacent to 2 or more volcanic tiles",2,1,1,,
Selvix Magmastic Eydl,3,Unit,Scorshan Warrior,"Power: Discard 1 card, then draw a card for each adjacent volcanic tile. You gain fatigued",3,3,1,,
Moltenborn Magmastic Captain,4,Unit,Schorshan Warrior,Aura: Volcanic environs cost 1 less when deployed adjacent to this unit,3,4,1,,
"Ashenwalk, Weaver Adept",4,Unit,Scorshan Mystic,"Power: Discard a card, then reveal the top 4 cards of your deck. You may put any number of Scorshan or Volcanic environs you find there into your hand. Discard the rest. You gain fatigued",5,3,1,,
"Ignisfury, Molten Forge",5,Unit,Schorshan Mystic,"Aura: If this unit is in a volcanic tile, destroy any unit it deals damage to.",4,4,2,,
Erupt,2,Stratagem,,This deals 3 damage to a wielder in a friendly volcanic tile,,,,,
Inferno Catalyst,1,Stratagem,,This costs 1 less if you are adjacent to a friendly volcanic tile. Chose an enemy adjacent to a friendly schorshan. This pushes the chosen enemy away from the friendly Schorshan,,,,,
Scorching Ray,3,Tactic,Augment Attack/Deployment,Chose a row or column you occupy. This deals 2 damage to each enemy in that row or column,,,,,
Zokara the Marevo,4,Unit,Frostlon Mystic,"When this is deployed, place an avalanche counter on it. Power: Snow Slam: Remove an avalance counter from this, then chose 1. Push all occupants of a row adjacent to this. 2. Freeze all occupants of a row adjacent to this",4,3,1,,
Icelin Boots,1,Equipment,,Equipped unit cannot be frozen,,,,,
Icelin Frost Bolt,3,Tactic,Augment Move/Attack,"Costs 2 less if you are adjacent to a friendly Frostlon. Destroy an enemy unit within 2 tiles of you with cost 4 or less. Otherwise, freeze that unit ",,,,,
Frozen clearing,3,Tactic,Augment Move/Attack,Costs 1 less if you're adjacent to a friendly Icelin. Chose a tile with range 2 of you. This pushes then freezes units adjacent to the chose tile,,,,,
Glacial Undertow,4,Stratagem,,This costs 1 less if you are adjacent to a friendly Frostlon. Destroy a unit within 2 tiles of you,,,,,
Tidal Confluence,2,Tactic,,"You must discard a card to deploy this unless you are adjacent to a friendly Tidewalker. A chosen player reveals their hand, and discards a card of your choice",,,,,
Aquamara Interference,3,Reaction,,Discard chosen deploying ordinance. Costs 1 less if you're adjacent to a Tidewalker,,,,,
Submerge,4,Reaction,,"Discard chosen deploying ordinance, then look at the top 5 cards of your deck. You may deploy ordinance that costs 2 or less without paying it's cost",,,,,
Succumb to Flow,3,Reaction,,Chosen unit is unaffected by enemy ordinance this turn. (Deployments still affect it normally),,,,,
